,kilde (aktivitet),energiprodukt,komponent,år,statistikkvariabel,"13931: Klimagasser AR5, etter kilde (aktivitet), energiprodukt, komponent, år og statistikkvariabel"
3798,1 Olje- og gassutvinning,"VT6 Tungolje, spillolje",K95 Svovelheksafluorid (SF6),2014,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3799,1 Olje- og gassutvinning,"VT6 Tungolje, spillolje",K95 Svovelheksafluorid (SF6),2015,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3800,1 Olje- og gassutvinning,"VT6 Tungolje, spillolje",K95 Svovelheksafluorid (SF6),2016,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3801,1 Olje- og gassutvinning,"VT6 Tungolje, spillolje",K95 Svovelheksafluorid (SF6),2017,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3802,1 Olje- og gassutvinning,"VT6 Tungolje, spillolje",K95 Svovelheksafluorid (SF6),2018,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3803,1 Olje- og gassutvinning,"VT6 Tungolje, spillolje",K95 Svovelheksafluorid (SF6),2019,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3804,1 Olje- og gassutvinning,"VT6 Tungolje, spillolje",K95 Svovelheksafluorid (SF6),2020,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3805,1 Olje- og gassutvinning,"VT6 Tungolje, spillolje",K95 Svovelheksafluorid (SF6),2021,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3806,1 Olje- og gassutvinning,"VT6 Tungolje, spillolje",K95 Svovelheksafluorid (SF6),2022,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3807,1 Olje- og gassutvinning,"VT6 Tungolje, spillolje",K95 Svovelheksafluorid (SF6),2023,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3808,1 Olje- og gassutvinning,VT7 Avfall,A10 Klimagasser i alt,1990,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3809,1 Olje- og gassutvinning,VT7 Avfall,A10 Klimagasser i alt,1991,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3810,1 Olje- og gassutvinning,VT7 Avfall,A10 Klimagasser i alt,1992,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3811,1 Olje- og gassutvinning,VT7 Avfall,A10 Klimagasser i alt,1993,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3812,1 Olje- og gassutvinning,VT7 Avfall,A10 Klimagasser i alt,1994,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3813,1 Olje- og gassutvinning,VT7 Avfall,A10 Klimagasser i alt,1995,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3814,1 Olje- og gassutvinning,VT7 Avfall,A10 Klimagasser i alt,1996,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3815,1 Olje- og gassutvinning,VT7 Avfall,A10 Klimagasser i alt,1997,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3816,1 Olje- og gassutvinning,VT7 Avfall,A10 Klimagasser i alt,1998,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3817,1 Olje- og gassutvinning,VT7 Avfall,A10 Klimagasser i alt,1999,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3818,1 Olje- og gassutvinning,VT7 Avfall,A10 Klimagasser i alt,2000,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3819,1 Olje- og gassutvinning,VT7 Avfall,A10 Klimagasser i alt,2001,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3820,1 Olje- og gassutvinning,VT7 Avfall,A10 Klimagasser i alt,2002,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3821,1 Olje- og gassutvinning,VT7 Avfall,A10 Klimagasser i alt,2003,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3822,1 Olje- og gassutvinning,VT7 Avfall,A10 Klimagasser i alt,2004,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3823,1 Olje- og gassutvinning,VT7 Avfall,A10 Klimagasser i alt,2005,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3824,1 Olje- og gassutvinning,VT7 Avfall,A10 Klimagasser i alt,2006,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3825,1 Olje- og gassutvinning,VT7 Avfall,A10 Klimagasser i alt,2007,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3826,1 Olje- og gassutvinning,VT7 Avfall,A10 Klimagasser i alt,2008,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3827,1 Olje- og gassutvinning,VT7 Avfall,A10 Klimagasser i alt,2009,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3828,1 Olje- og gassutvinning,VT7 Avfall,A10 Klimagasser i alt,2010,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3829,1 Olje- og gassutvinning,VT7 Avfall,A10 Klimagasser i alt,2011,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3830,1 Olje- og gassutvinning,VT7 Avfall,A10 Klimagasser i alt,2012,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3831,1 Olje- og gassutvinning,VT7 Avfall,A10 Klimagasser i alt,2013,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3832,1 Olje- og gassutvinning,VT7 Avfall,A10 Klimagasser i alt,2014,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3833,1 Olje- og gassutvinning,VT7 Avfall,A10 Klimagasser i alt,2015,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3834,1 Olje- og gassutvinning,VT7 Avfall,A10 Klimagasser i alt,2016,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3835,1 Olje- og gassutvinning,VT7 Avfall,A10 Klimagasser i alt,2017,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3836,1 Olje- og gassutvinning,VT7 Avfall,A10 Klimagasser i alt,2018,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3837,1 Olje- og gassutvinning,VT7 Avfall,A10 Klimagasser i alt,2019,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3838,1 Olje- og gassutvinning,VT7 Avfall,A10 Klimagasser i alt,2020,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3839,1 Olje- og gassutvinning,VT7 Avfall,A10 Klimagasser i alt,2021,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3840,1 Olje- og gassutvinning,VT7 Avfall,A10 Klimagasser i alt,2022,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3841,1 Olje- og gassutvinning,VT7 Avfall,A10 Klimagasser i alt,2023,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3842,1 Olje- og gassutvinning,VT7 Avfall,K11 Karbondioksid (CO2),1990,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3843,1 Olje- og gassutvinning,VT7 Avfall,K11 Karbondioksid (CO2),1991,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3844,1 Olje- og gassutvinning,VT7 Avfall,K11 Karbondioksid (CO2),1992,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3845,1 Olje- og gassutvinning,VT7 Avfall,K11 Karbondioksid (CO2),1993,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3846,1 Olje- og gassutvinning,VT7 Avfall,K11 Karbondioksid (CO2),1994,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3847,1 Olje- og gassutvinning,VT7 Avfall,K11 Karbondioksid (CO2),1995,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3848,1 Olje- og gassutvinning,VT7 Avfall,K11 Karbondioksid (CO2),1996,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3849,1 Olje- og gassutvinning,VT7 Avfall,K11 Karbondioksid (CO2),1997,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3850,1 Olje- og gassutvinning,VT7 Avfall,K11 Karbondioksid (CO2),1998,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3851,1 Olje- og gassutvinning,VT7 Avfall,K11 Karbondioksid (CO2),1999,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3852,1 Olje- og gassutvinning,VT7 Avfall,K11 Karbondioksid (CO2),2000,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3853,1 Olje- og gassutvinning,VT7 Avfall,K11 Karbondioksid (CO2),2001,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3854,1 Olje- og gassutvinning,VT7 Avfall,K11 Karbondioksid (CO2),2002,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3855,1 Olje- og gassutvinning,VT7 Avfall,K11 Karbondioksid (CO2),2003,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3856,1 Olje- og gassutvinning,VT7 Avfall,K11 Karbondioksid (CO2),2004,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3857,1 Olje- og gassutvinning,VT7 Avfall,K11 Karbondioksid (CO2),2005,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3858,1 Olje- og gassutvinning,VT7 Avfall,K11 Karbondioksid (CO2),2006,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3859,1 Olje- og gassutvinning,VT7 Avfall,K11 Karbondioksid (CO2),2007,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3860,1 Olje- og gassutvinning,VT7 Avfall,K11 Karbondioksid (CO2),2008,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3861,1 Olje- og gassutvinning,VT7 Avfall,K11 Karbondioksid (CO2),2009,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3862,1 Olje- og gassutvinning,VT7 Avfall,K11 Karbondioksid (CO2),2010,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3863,1 Olje- og gassutvinning,VT7 Avfall,K11 Karbondioksid (CO2),2011,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3864,1 Olje- og gassutvinning,VT7 Avfall,K11 Karbondioksid (CO2),2012,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3865,1 Olje- og gassutvinning,VT7 Avfall,K11 Karbondioksid (CO2),2013,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3866,1 Olje- og gassutvinning,VT7 Avfall,K11 Karbondioksid (CO2),2014,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3867,1 Olje- og gassutvinning,VT7 Avfall,K11 Karbondioksid (CO2),2015,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3868,1 Olje- og gassutvinning,VT7 Avfall,K11 Karbondioksid (CO2),2016,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3869,1 Olje- og gassutvinning,VT7 Avfall,K11 Karbondioksid (CO2),2017,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3870,1 Olje- og gassutvinning,VT7 Avfall,K11 Karbondioksid (CO2),2018,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3871,1 Olje- og gassutvinning,VT7 Avfall,K11 Karbondioksid (CO2),2019,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3872,1 Olje- og gassutvinning,VT7 Avfall,K11 Karbondioksid (CO2),2020,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3873,1 Olje- og gassutvinning,VT7 Avfall,K11 Karbondioksid (CO2),2021,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3874,1 Olje- og gassutvinning,VT7 Avfall,K11 Karbondioksid (CO2),2022,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3875,1 Olje- og gassutvinning,VT7 Avfall,K11 Karbondioksid (CO2),2023,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3876,1 Olje- og gassutvinning,VT7 Avfall,K12 Metan (CH4),1990,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3877,1 Olje- og gassutvinning,VT7 Avfall,K12 Metan (CH4),1991,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3878,1 Olje- og gassutvinning,VT7 Avfall,K12 Metan (CH4),1992,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3879,1 Olje- og gassutvinning,VT7 Avfall,K12 Metan (CH4),1993,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3880,1 Olje- og gassutvinning,VT7 Avfall,K12 Metan (CH4),1994,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3881,1 Olje- og gassutvinning,VT7 Avfall,K12 Metan (CH4),1995,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3882,1 Olje- og gassutvinning,VT7 Avfall,K12 Metan (CH4),1996,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3883,1 Olje- og gassutvinning,VT7 Avfall,K12 Metan (CH4),1997,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3884,1 Olje- og gassutvinning,VT7 Avfall,K12 Metan (CH4),1998,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3885,1 Olje- og gassutvinning,VT7 Avfall,K12 Metan (CH4),1999,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3886,1 Olje- og gassutvinning,VT7 Avfall,K12 Metan (CH4),2000,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3887,1 Olje- og gassutvinning,VT7 Avfall,K12 Metan (CH4),2001,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3888,1 Olje- og gassutvinning,VT7 Avfall,K12 Metan (CH4),2002,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3889,1 Olje- og gassutvinning,VT7 Avfall,K12 Metan (CH4),2003,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3890,1 Olje- og gassutvinning,VT7 Avfall,K12 Metan (CH4),2004,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3891,1 Olje- og gassutvinning,VT7 Avfall,K12 Metan (CH4),2005,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3892,1 Olje- og gassutvinning,VT7 Avfall,K12 Metan (CH4),2006,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3893,1 Olje- og gassutvinning,VT7 Avfall,K12 Metan (CH4),2007,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3894,1 Olje- og gassutvinning,VT7 Avfall,K12 Metan (CH4),2008,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3895,1 Olje- og gassutvinning,VT7 Avfall,K12 Metan (CH4),2009,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3896,1 Olje- og gassutvinning,VT7 Avfall,K12 Metan (CH4),2010,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3897,1 Olje- og gassutvinning,VT7 Avfall,K12 Metan (CH4),2011,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3898,1 Olje- og gassutvinning,VT7 Avfall,K12 Metan (CH4),2012,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3899,1 Olje- og gassutvinning,VT7 Avfall,K12 Metan (CH4),2013,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3900,1 Olje- og gassutvinning,VT7 Avfall,K12 Metan (CH4),2014,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3901,1 Olje- og gassutvinning,VT7 Avfall,K12 Metan (CH4),2015,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3902,1 Olje- og gassutvinning,VT7 Avfall,K12 Metan (CH4),2016,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3903,1 Olje- og gassutvinning,VT7 Avfall,K12 Metan (CH4),2017,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3904,1 Olje- og gassutvinning,VT7 Avfall,K12 Metan (CH4),2018,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3905,1 Olje- og gassutvinning,VT7 Avfall,K12 Metan (CH4),2019,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3906,1 Olje- og gassutvinning,VT7 Avfall,K12 Metan (CH4),2020,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3907,1 Olje- og gassutvinning,VT7 Avfall,K12 Metan (CH4),2021,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3908,1 Olje- og gassutvinning,VT7 Avfall,K12 Metan (CH4),2022,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3909,1 Olje- og gassutvinning,VT7 Avfall,K12 Metan (CH4),2023,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3910,1 Olje- og gassutvinning,VT7 Avfall,K13 Lystgass (N2O),1990,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3911,1 Olje- og gassutvinning,VT7 Avfall,K13 Lystgass (N2O),1991,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3912,1 Olje- og gassutvinning,VT7 Avfall,K13 Lystgass (N2O),1992,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3913,1 Olje- og gassutvinning,VT7 Avfall,K13 Lystgass (N2O),1993,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3914,1 Olje- og gassutvinning,VT7 Avfall,K13 Lystgass (N2O),1994,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3915,1 Olje- og gassutvinning,VT7 Avfall,K13 Lystgass (N2O),1995,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3916,1 Olje- og gassutvinning,VT7 Avfall,K13 Lystgass (N2O),1996,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3917,1 Olje- og gassutvinning,VT7 Avfall,K13 Lystgass (N2O),1997,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3918,1 Olje- og gassutvinning,VT7 Avfall,K13 Lystgass (N2O),1998,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3919,1 Olje- og gassutvinning,VT7 Avfall,K13 Lystgass (N2O),1999,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3920,1 Olje- og gassutvinning,VT7 Avfall,K13 Lystgass (N2O),2000,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3921,1 Olje- og gassutvinning,VT7 Avfall,K13 Lystgass (N2O),2001,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3922,1 Olje- og gassutvinning,VT7 Avfall,K13 Lystgass (N2O),2002,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3923,1 Olje- og gassutvinning,VT7 Avfall,K13 Lystgass (N2O),2003,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3924,1 Olje- og gassutvinning,VT7 Avfall,K13 Lystgass (N2O),2004,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3925,1 Olje- og gassutvinning,VT7 Avfall,K13 Lystgass (N2O),2005,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3926,1 Olje- og gassutvinning,VT7 Avfall,K13 Lystgass (N2O),2006,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3927,1 Olje- og gassutvinning,VT7 Avfall,K13 Lystgass (N2O),2007,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3928,1 Olje- og gassutvinning,VT7 Avfall,K13 Lystgass (N2O),2008,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3929,1 Olje- og gassutvinning,VT7 Avfall,K13 Lystgass (N2O),2009,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3930,1 Olje- og gassutvinning,VT7 Avfall,K13 Lystgass (N2O),2010,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3931,1 Olje- og gassutvinning,VT7 Avfall,K13 Lystgass (N2O),2011,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3932,1 Olje- og gassutvinning,VT7 Avfall,K13 Lystgass (N2O),2012,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3933,1 Olje- og gassutvinning,VT7 Avfall,K13 Lystgass (N2O),2013,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3934,1 Olje- og gassutvinning,VT7 Avfall,K13 Lystgass (N2O),2014,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3935,1 Olje- og gassutvinning,VT7 Avfall,K13 Lystgass (N2O),2015,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3936,1 Olje- og gassutvinning,VT7 Avfall,K13 Lystgass (N2O),2016,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3937,1 Olje- og gassutvinning,VT7 Avfall,K13 Lystgass (N2O),2017,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3938,1 Olje- og gassutvinning,VT7 Avfall,K13 Lystgass (N2O),2018,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3939,1 Olje- og gassutvinning,VT7 Avfall,K13 Lystgass (N2O),2019,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3940,1 Olje- og gassutvinning,VT7 Avfall,K13 Lystgass (N2O),2020,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3941,1 Olje- og gassutvinning,VT7 Avfall,K13 Lystgass (N2O),2021,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3942,1 Olje- og gassutvinning,VT7 Avfall,K13 Lystgass (N2O),2022,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3943,1 Olje- og gassutvinning,VT7 Avfall,K13 Lystgass (N2O),2023,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3944,1 Olje- og gassutvinning,VT7 Avfall,K80 Hydrofluorkarboner (HFK),1990,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3945,1 Olje- og gassutvinning,VT7 Avfall,K80 Hydrofluorkarboner (HFK),1991,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3946,1 Olje- og gassutvinning,VT7 Avfall,K80 Hydrofluorkarboner (HFK),1992,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3947,1 Olje- og gassutvinning,VT7 Avfall,K80 Hydrofluorkarboner (HFK),1993,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3948,1 Olje- og gassutvinning,VT7 Avfall,K80 Hydrofluorkarboner (HFK),1994,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3949,1 Olje- og gassutvinning,VT7 Avfall,K80 Hydrofluorkarboner (HFK),1995,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3950,1 Olje- og gassutvinning,VT7 Avfall,K80 Hydrofluorkarboner (HFK),1996,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3951,1 Olje- og gassutvinning,VT7 Avfall,K80 Hydrofluorkarboner (HFK),1997,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3952,1 Olje- og gassutvinning,VT7 Avfall,K80 Hydrofluorkarboner (HFK),1998,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3953,1 Olje- og gassutvinning,VT7 Avfall,K80 Hydrofluorkarboner (HFK),1999,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3954,1 Olje- og gassutvinning,VT7 Avfall,K80 Hydrofluorkarboner (HFK),2000,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3955,1 Olje- og gassutvinning,VT7 Avfall,K80 Hydrofluorkarboner (HFK),2001,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3956,1 Olje- og gassutvinning,VT7 Avfall,K80 Hydrofluorkarboner (HFK),2002,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3957,1 Olje- og gassutvinning,VT7 Avfall,K80 Hydrofluorkarboner (HFK),2003,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3958,1 Olje- og gassutvinning,VT7 Avfall,K80 Hydrofluorkarboner (HFK),2004,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3959,1 Olje- og gassutvinning,VT7 Avfall,K80 Hydrofluorkarboner (HFK),2005,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3960,1 Olje- og gassutvinning,VT7 Avfall,K80 Hydrofluorkarboner (HFK),2006,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3961,1 Olje- og gassutvinning,VT7 Avfall,K80 Hydrofluorkarboner (HFK),2007,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3962,1 Olje- og gassutvinning,VT7 Avfall,K80 Hydrofluorkarboner (HFK),2008,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3963,1 Olje- og gassutvinning,VT7 Avfall,K80 Hydrofluorkarboner (HFK),2009,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3964,1 Olje- og gassutvinning,VT7 Avfall,K80 Hydrofluorkarboner (HFK),2010,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3965,1 Olje- og gassutvinning,VT7 Avfall,K80 Hydrofluorkarboner (HFK),2011,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3966,1 Olje- og gassutvinning,VT7 Avfall,K80 Hydrofluorkarboner (HFK),2012,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3967,1 Olje- og gassutvinning,VT7 Avfall,K80 Hydrofluorkarboner (HFK),2013,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3968,1 Olje- og gassutvinning,VT7 Avfall,K80 Hydrofluorkarboner (HFK),2014,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3969,1 Olje- og gassutvinning,VT7 Avfall,K80 Hydrofluorkarboner (HFK),2015,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3970,1 Olje- og gassutvinning,VT7 Avfall,K80 Hydrofluorkarboner (HFK),2016,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
3971,1 Olje- og gassutvinning,VT7 Avfall,K80 Hydrofluorkarboner (HFK),2017,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",.
