,kilde (aktivitet),energiprodukt,komponent,år,statistikkvariabel,"13931: Klimagasser AR5, etter kilde (aktivitet), energiprodukt, komponent, år og statistikkvariabel"
43,0 Alle kilder,VT0 I alt,K11 Karbondioksid (CO2),1999,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",42609
44,0 Alle kilder,VT0 I alt,K11 Karbondioksid (CO2),2000,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",42131
45,0 Alle kilder,VT0 I alt,K11 Karbondioksid (CO2),2001,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",43519
46,0 Alle kilder,VT0 I alt,K11 Karbondioksid (CO2),2002,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",42571
47,0 Alle kilder,VT0 I alt,K11 Karbondioksid (CO2),2003,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",43919
48,0 Alle kilder,VT0 I alt,K11 Karbondioksid (CO2),2004,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",44257
49,0 Alle kilder,VT0 I alt,K11 Karbondioksid (CO2),2005,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",43279
50,0 Alle kilder,VT0 I alt,K11 Karbondioksid (CO2),2006,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",43859
51,0 Alle kilder,VT0 I alt,K11 Karbondioksid (CO2),2007,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",45605
52,0 Alle kilder,VT0 I alt,K11 Karbondioksid (CO2),2008,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",44692
53,0 Alle kilder,VT0 I alt,K11 Karbondioksid (CO2),2009,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",43098
54,0 Alle kilder,VT0 I alt,K11 Karbondioksid (CO2),2010,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",45659
55,0 Alle kilder,VT0 I alt,K11 Karbondioksid (CO2),2011,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",44775
56,0 Alle kilder,VT0 I alt,K11 Karbondioksid (CO2),2012,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",44258
57,0 Alle kilder,VT0 I alt,K11 Karbondioksid (CO2),2013,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",44539
58,0 Alle kilder,VT0 I alt,K11 Karbondioksid (CO2),2014,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",44975
59,0 Alle kilder,VT0 I alt,K11 Karbondioksid (CO2),2015,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",45523
60,0 Alle kilder,VT0 I alt,K11 Karbondioksid (CO2),2016,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",44708
61,0 Alle kilder,VT0 I alt,K11 Karbondioksid (CO2),2017,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",44197
62,0 Alle kilder,VT0 I alt,K11 Karbondioksid (CO2),2018,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",44472
